WP,City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
8507,Chico,08-06-2018,15.37,,9.58,23.6,23.66,6.64,0.91,27.1,5.82,18.51,,13.22,11985.96,62
8508,Logan,27-11-2018,52.98,122.44,6.09,14.37,16.75,6.04,0.11,9.61,8.04,4.77,1.24,2.54,11089.96,138
8509,Sanfransisco,28-05-2018,24.1,50.88,1.27,3.52,1.48,4.09,0.2,33.76,6.63,0.29,,0.12,13183.96,53
8510,NewYork,12-10-2019,75.8,162.53,28.58,92.96,62.8,9.13,1.38,14.93,,2.1,18.45,1.77,14017.96,137
8511,LosAngeles,24-01-2015,,,6,31.6,45.16,,0.66,40.42,7.33,12.39,6.64,1.31,5676.96,112
8512,Chico,20-10-2016,142.45,,13.31,19.6,,,2.73,22.17,7.48,1.99,,1.34,8551.96,306
8513,Bakersfield,27-09-2015,,,,,27.1,,0,,,0,0,0,12376.96,112
8514,Padrelascasas,28-02-2019,45.84,132.8,4.45,11.43,17.24,4.74,1.81,31.27,10.08,,,0,14700.96,109
8515,Angol,12-02-2019,90.93,148.18,47.36,54.67,76.12,39.99,0.72,21.97,9.21,17.58,12.99,5.99,14123.96,204
8516,Bakersfield,27-01-2018,165.81,125.24,6.15,,19.51,43.44,0,52.23,,0,0,0,19787.96,226
8517,Camden,04-04-2017,82.55,,4.74,18.57,21.08,,5.41,50.68,6.99,,,,12009.96,112
8518,Shreveport,28-12-2019,49.29,77.95,2.97,15.84,12.92,,4.68,5.09,26.42,14.04,1.11,4.73,18647.96,99
8519,Visalia,22-12-2019,65.7,125.48,3.78,10.34,17.29,35.48,0.37,32.1,3.22,2.19,3.07,24.36,10486.96,191
8520,Sandiago,28-10-2018,68.74,,5.67,19.8,13.73,114.96,1.15,29.25,10.64,0.81,,1.23,16945.96,92
8521,Modesto,10-06-2017,87.59,274.73,21.67,68.86,87.26,21.29,1.35,47.64,11.61,28.88,0.08,4.68,5087.96,178
8522,Padrelascasas,04-03-2018,43.34,101.78,23.3,6.96,26.46,15.22,0.81,43.01,12.66,,,134.31,9064.96,130
8523,Chico,01-02-2019,215.13,,87.76,65.55,78.82,59.62,1.43,35.87,11.71,5.63,,2.13,9915.96,359
8524,LosAngeles,25-09-2016,34.05,,7.05,10.24,15.57,,0.82,21.38,6.25,1.44,0.13,0.22,9334.96,236
8525,Camden,16-08-2019,18.99,40.27,9.3,7.26,5.49,6.39,0.82,28.87,3.17,,,,5867.96,109
8526,Angol,15-07-2018,22.13,81.26,8.87,19.93,26.74,21.28,0.86,37.21,10.02,2.59,,0.54,5611.96,76
8527,Camden,23-12-2016,275.7,,37.44,55.74,76.6,,1.8,11.01,7.09,0.25,,0.02,14326.96,441
8528,Chico,20-10-2019,204.99,,25.5,28.57,46.72,5.97,1.84,25.14,7.06,0.64,,0.9,18673.96,377
8529,NewYork,03-06-2020,17.8,38.38,6.33,12.08,19.2,9.94,0.47,43.26,7.32,1.34,5.22,3.9,8358.96,66
8530,Mexico,24-12-2019,73.97,126.79,12.65,22.57,24.59,40.11,0.84,20.88,9.32,0.09,0.1,0.02,10961.96,160
8531,LosAngeles,21-01-2015,,,21.87,27.88,48.66,,1.39,4.08,6.78,3.39,0.28,0.49,7045.96,112
8532,Angol,28-05-2018,52.34,81.46,11.92,18.38,28.05,13.65,0.98,43.04,12,5.42,,0.86,11203.96,84
8533,Camden,19-02-2019,65.56,102.99,11.72,14.99,22.93,,0.48,28.44,0.47,,,0.65,16714.96,157
8534,Sanfransisco,07-11-2019,,,,,,,,,,,,,13235.96,112
8535,LosAngeles,26-12-2019,126.86,162.88,3.13,3.01,4.35,6.34,0.11,50.55,2.26,1.07,0.39,0.07,17866.96,287
8536,Modesto,21-12-2019,123.43,213.65,41.59,36.15,52.7,30.36,1.14,11.12,13.57,8.9,2.12,3.3,11713.96,208
8537,Chico,22-12-2019,111.7,,9.17,14.09,13.1,1.28,1.18,12.72,2.99,0.78,,0.43,7225.96,342
8538,Logan,27-10-2018,55.82,156.72,12.74,37.31,28.62,9.44,0.71,24.78,13.42,8.96,2.08,3.09,9695.96,133
8539,Medellin,20-09-2016,36.88,134.48,5.51,10.78,13.88,8.61,0.86,20.88,24.68,,,0,4190.96,123
8540,Visalia,15-02-2018,101.66,194.15,33.85,42.5,78.22,46.69,0.54,40.55,7.01,12.85,2.47,14.88,11373.96,308
8541,Edinburg,24-12-2017,150.58,,11.16,57.52,22.56,,0.99,6.98,39.64,77.25,38.85,9.04,9021.96,324
8542,Modesto,12-07-2019,66.29,112.2,58.93,54.14,44.98,18.54,0.49,28.46,14.64,7.18,,2.32,17357.96,110
8543,Carlsbad,04-06-2020,21.29,69.11,1.14,8.9,14.89,11.02,0.58,37.95,3.75,0.28,,0.14,14351.96,47
8544,Camden,24-06-2017,62.46,,14.03,24.46,,,0.27,9.59,7.67,3.56,,0.03,2149.96,145
8545,Fresno,15-10-2017,,153.29,7.76,9.57,,,0.39,16.52,18.06,,,,14741.96,112
8546,Camden,06-06-2018,82.9,183.57,24.4,58.72,82.14,,1.57,21.01,23.46,6,,2.01,14865.96,242
8547,Logan,20-02-2020,29.36,68.42,14.34,17.24,22.74,20.4,0.33,39.01,9.12,6.56,1.67,1.19,12930.96,85
8548,Edinburg,27-07-2015,,,31.36,31.39,56.74,,2.93,9.9,4.4,1.26,1.4,0.36,222.96,112
8549,NewYork,25-09-2019,25.38,35.96,22,5.96,31.72,11.97,0.06,19.1,7.58,2.54,5.64,15.99,4613.96,72
8550,Visalia,09-11-2016,38.99,72.69,4.9,18.95,26.94,15.49,0.37,39.51,1.39,5.08,,3.04,9705.96,112
8551,Chico,10-07-2016,102.64,,8.22,25.74,,,1.7,24.23,9.76,5.35,,2.77,15282.96,204
8552,NewYork,03-11-2020,51.38,171.29,9,16.9,23.26,16.92,0,18.52,1.73,7.19,12.84,6.12,2505.96,150
8553,Coyhaique,13-08-2019,5.86,13.39,4.22,5.57,7.57,7.35,0.47,12,4.29,,,,15254.96,86
8554,Carlsbad,28-09-2017,16.6,32.63,8.21,13.54,19.5,12.73,0.75,24.63,5.75,1.99,,0.67,16228.96,45
8555,Carlsbad,03-12-2018,92.29,200.23,6.93,34.3,29,21.25,1.05,18.84,3.95,3.25,,2.99,7747.96,112
8556,Nevada,05-08-2020,26,38.67,1.18,12.85,7.66,2.72,0.4,2.09,14.07,,,0,17554.96,42
8557,Padrelascasas,11-03-2019,157.3,345.46,15.1,14.47,25.35,8.47,0,11.26,12.63,,,1.99,18793.96,287
8558,LosAngeles,15-07-2018,31.58,61.65,1.3,18.8,24.82,15.36,0.72,38.21,6.13,22.78,0.69,3.16,10093.96,69
8559,Mexico,26-03-2016,49.12,61.86,5.58,11.24,10.2,11.23,0.7,61.74,22.35,1.05,0.17,0.13,11670.96,113
8560,Modesto,01-11-2020,34.03,111.92,17.74,38.78,45.88,47.59,1.05,31.9,12.93,22.45,0.34,3.28,6640.96,996
8561,Chico,07-02-2015,47.71,,6.04,8.11,5.47,,1.57,17.78,9.42,0.42,,0.32,19099.96,154
8562,Sandiago,09-04-2015,37.26,,19.55,11.28,19.7,30.54,1.5,16.25,9.63,1.05,,0.01,2620.96,121
8563,Carlsbad,06-12-2017,40.22,64.21,5.06,32.17,0,26.65,0.59,39.58,3.63,1.11,,1.79,19379.96,110
8564,Las_cruces,14-04-2017,58.17,139.58,7.33,33.04,23.57,36.53,0.96,51.45,15.29,,,,13138.96,128
8565,Mexico,23-12-2017,58.12,105.73,2.7,20.27,12.52,5.85,0,19.66,43.11,0.19,,0.55,3786.96,108
8566,Coyhaique,23-01-2018,73.05,193.75,3.25,19.31,10.87,6.73,0.94,55.58,6.86,,,,5363.96,130
8567,Logan,06-12-2020,17.43,53.71,9.72,14.13,13.13,28.83,0.59,37.24,8.4,8.29,3.68,3.44,12014.96,60
8568,LosAngeles,06-01-2018,22.28,41.29,3.93,24.91,17.57,17.49,0.31,9.88,3.74,5.97,0.97,0.31,11189.96,37
8569,Angol,28-03-2019,69.3,106.91,6.45,11.88,17.27,5.89,0.61,4.74,10.74,2.75,,0.38,17726.96,144
8570,Edinburg,26-07-2017,129.59,,25.7,32.92,35.57,,2.1,14.47,24.45,1.61,1.11,0.27,1081.96,340
8571,Camden,18-09-2019,240.99,362.77,57.38,18.98,83.83,,1.27,40.26,9.9,0,,0,2784.96,399
8572,Chico,18-02-2020,103.35,,5.93,56.33,35.2,12.71,1.35,45.74,8.66,5.4,,3.07,10233.96,155
8573,Edinburg,11-12-2018,169.29,,25.58,76.13,39.74,,1.62,39.48,28.28,15.14,8.29,1.95,9300.96,321
8574,Carlsbad,13-03-2018,18.94,36.85,2.43,20.24,12.99,17.32,0.81,36.28,3.05,0.05,,0,9224.96,73
8575,LosAngeles,28-07-2016,40.12,,5.57,8.99,20.2,,0.65,23.87,6.02,0.41,0.01,0.1,8221.96,120
8576,Medellin,01-08-2020,76.46,165.09,14.8,14.8,21.95,7.31,1.05,15.84,33.89,,,0,700.96,219
8577,Bakersfield,08-09-2019,24.14,61.39,24.3,6.4,32.47,11.26,0.39,9.83,12.16,,,1.91,14227.96,55
8578,Bakersfield,01-03-2020,62.75,96.24,45.86,23.04,52.63,28.17,1.04,10.84,12.85,,,5.82,1621.96,120
8579,Mexico,16-04-2020,15.85,27.65,8.49,16.98,20.85,26.56,0.85,36.6,11.24,1.13,0.2,0.21,6604.96,112
8580,Modesto,05-01-2017,141.04,240.89,40.26,61.42,61.84,56.61,1.54,166.31,18.32,55.24,2.12,3.71,16990.96,336
8581,Bakersfield,02-06-2016,,,,,27.76,,0,,,0,0,0,17045.96,112
8582,Sandiago,28-09-2015,75.48,,11.86,15.27,21.92,53.8,1.07,10.54,17.21,,,,9417.96,205
8583,Sandiago,22-09-2018,16.94,27.91,7.88,8.73,14.73,12.91,0.57,19.75,7.39,0.16,,0.61,15614.96,43
8584,Modesto,11-06-2017,196.94,,52.06,40.46,119.25,44.92,1.54,55.98,8.07,18.04,,4.16,10866.96,377
8585,Carlsbad,03-12-2020,25.58,74.83,24.06,29.82,35.47,17.35,0.94,43.51,4.89,1.35,,0.2,6746.96,95
8586,Edinburg,18-01-2019,258.63,,57.17,94,86.48,,1.73,64.15,51.67,16.78,6.49,1.27,3544.96,422
8587,Padrelascasas,11-03-2018,142.61,225.78,15.43,24.57,34.18,31.08,2.58,60.39,15.78,,,0,6426.96,322
8588,Edinburg,26-11-2018,227.49,,31.76,70.83,90.51,,3.04,26.59,40.32,9.88,5.75,1.57,4007.96,337
8589,Nevada,25-07-2017,33.5,129.46,4,6.9,20.84,,0.71,20.15,12.09,,,0.45,14628.96,110
8590,Chico,24-03-2019,51.73,,19.62,90.8,40.7,,1.88,36.41,8.37,3.34,,0.85,19533.96,103
8591,Nevada,17-04-2020,32.6,48.49,9.05,14.47,30.54,11.61,0.52,23.26,12.02,,,,10639.96,63
8592,LosAngeles,07-08-2018,,38.23,5.87,22.87,12.43,29.54,0.38,5.94,2.84,6.07,0.35,0.54,10654.96,50
8593,Bakersfield,15-08-2019,15.44,52.34,21.12,5.48,21.03,6.26,0.97,13.68,11.04,,,4.63,6083.96,88
8594,Fresno,01-04-2018,,,,,,,,,,,,,17048.96,112
8595,Mexico,17-04-2018,33.7,59.08,14.23,26.47,32.62,7.83,0.76,23.89,21.26,1.19,0.11,0.24,6787.96,86
8596,Medellin,23-07-2019,21.48,42.53,26.95,1.17,33.18,7.54,0.99,15.72,12.86,,,0,4375.96,99
8597,Carlsbad,19-04-2020,35.23,89.25,20.58,38.9,45.16,15.15,1.26,25.33,8.91,2.14,,1.19,3820.96,85
8598,Visalia,12-02-2018,106.58,221.31,80.68,74.68,83.4,22.26,1.48,25.14,8.08,42.9,,36.48,18593.96,217
8599,Logan,01-10-2018,75.82,140.24,4.4,21.25,16.69,6.09,0.75,47.28,1.62,7.62,2.25,3.52,10169.96,124
8600,Logan,19-08-2018,68.23,115.75,9.9,13.5,13.32,,0.79,17.5,3.39,8.43,4.16,2.53,18419.96,147
8601,LosAngeles,03-06-2018,59.59,153.98,6.5,22.61,18.1,13.23,0.73,27.86,5.68,6.76,0.76,1.45,13158.96,121
8602,Carlsbad,20-02-2020,33.17,66.15,7.74,21.08,22.61,11.67,1.03,37.59,4.11,1.59,,0.86,7226.96,75
8603,Carlsbad,09-04-2017,18.25,,3.39,15.73,14.66,24.46,0.94,22.71,2.83,,,,2755.96,45
8604,Camden,18-08-2016,11.37,,3.26,6.94,7.13,,0.33,9.31,2.09,,,,8409.96,66
8605,Las_cruces,11-10-2019,50.2,90.99,0.67,6.81,3.25,15.02,0.69,53.59,9.99,,,,18633.96,102
8606,Sandiago,19-08-2019,29.4,,8.1,15.54,21.67,18.2,1.01,29.49,5.82,0.03,,0.05,1625.96,81
8607,Medellin,23-08-2019,27.32,79.19,20.63,2.79,18.96,7.94,2.64,6.65,10.96,,,,4099.96,159
8608,Carlsbad,08-01-2018,33.97,64.92,16.68,33.1,59.39,18.33,0.99,31.06,4.73,0.97,,0.31,742.96,88
8609,LosAngeles,02-10-2020,79.73,124.89,7.6,57.68,27.31,17.77,0.75,41.93,13.07,27.04,5.62,3.17,17027.96,139
8610,Chico,11-09-2018,189.48,,13.41,35.31,25.98,41.67,0.99,56.63,9.01,0.14,,0.36,7866.96,325
8611,Carlsbad,15-09-2015,25.69,,6.53,26.47,25.02,32.09,4.66,30.48,11.07,4.77,,,3222.96,89
8612,Chico,18-10-2019,95.62,,13.06,21.93,26.46,38.27,2.03,59.92,5.24,2.92,,0.88,13140.96,221
8613,Edinburg,25-05-2018,161.65,,27.89,77.55,56.46,,1.8,30.18,26.02,8.61,5.68,2.9,8021.96,224
8614,Chico,16-10-2016,212.76,,28.88,22.2,4.22,,1.81,25.25,2.67,1.92,,1.02,1039.96,358
8615,Shreveport,22-07-2018,34.53,,56.5,74.26,58.69,,17.93,,29.63,32.35,7.08,4.16,3173.96,540
8616,Sandiago,05-02-2018,36.34,,10.41,15.71,27.32,36.55,0.9,41.84,6.71,0.01,,0.03,1448.96,111
8617,Edinburg,13-12-2019,171.26,,45.27,57.32,76.17,,2.57,32.29,48.62,6.27,1.46,0.41,3950.96,325
8618,Modesto,16-10-2015,80.12,147.74,24.47,47.81,79.47,21.98,1.41,30.59,5.33,8.18,,3.12,17472.96,269
8619,LosAngeles,09-07-2017,56.87,109.54,6.62,35.35,20.95,29.53,0,11.18,3.61,4,0.21,0.54,14806.96,126
8620,Medellin,10-09-2018,,,,,,,,,,,,,1953.96,112
8621,Edinburg,11-10-2019,93.19,,14.38,45.53,17.72,,0.95,12.92,29.76,62.18,20.68,5.41,10531.96,331
8622,Sandiago,12-08-2019,87.55,,6.81,14.52,12.88,42.17,0.96,59.24,6.66,0.68,,0.03,19267.96,133
8623,Bakersfield,03-03-2019,,,,,36.58,,0,,,,,,1925.96,112
8624,Carlsbad,10-04-2018,17.14,40.68,2.71,15.59,10.98,34.99,0.84,15.1,9.39,3.2,,0.62,16179.96,59
8625,Carlsbad,25-04-2020,33.8,94.04,3.81,18.89,18.69,12.19,0.96,37.24,5.4,3.4,,0.75,9215.96,86
8626,Camden,12-06-2016,122.76,,7.2,7.66,,,0.51,10.27,10.57,3.66,,0.04,11754.96,308
8627,Coyhaique,11-09-2018,56.67,106.45,,9.12,11.17,8.03,1.25,15.03,8.28,,,,5080.96,113
8628,California,09-09-2018,29.74,21.06,12.17,11.61,30.25,16.28,1.63,17.23,10.28,0.19,,0.06,19823.96,66
8629,Modesto,01-08-2020,90.61,163.83,14.69,25,27.63,31.07,0.94,14.32,8.86,36.83,1.2,1.52,18773.96,193
8630,Mexico,26-06-2020,17.04,25.26,1.97,5.03,4.17,1.49,0,36.83,,0.01,,0.06,514.96,49
8631,Fresno,05-09-2019,,57.57,7.15,7.11,,9.91,0.37,31.6,44.89,,,,17664.96,86
8632,Sandiago,06-08-2015,17.65,,5.76,10.43,15.06,118.84,1.48,22.24,19.35,3.8,,0.67,5289.96,70
8633,Carlsbad,11-04-2016,39.19,71.86,6.4,11.28,12.95,17.96,0.7,37.29,3.5,1.25,,,13219.96,86
8634,Logan,22-07-2018,,,,,,,,,,,,,1277.96,112
8635,Edinburg,18-09-2017,63.68,,10.84,6.78,17.5,,1.2,26.18,3.11,0.71,0.18,0.11,6683.96,93
8636,Shreveport,08-07-2016,,,,,,,,,,,,,92.96,112
8637,Sanfransisco,26-05-2020,8.24,31.38,0.94,2.75,1.85,13.76,0.57,1.16,6.11,0.03,,0.05,18801.96,30
8638,Las_cruces,08-01-2019,22.27,63.29,1.98,12.31,8.02,31.4,0.48,40.86,9.03,,,,7907.96,92
8639,Camden,18-02-2017,94.35,,8.91,9.68,,,0.45,29.21,8.58,2.62,,0.03,18152.96,205
8640,Medellin,01-07-2020,150.91,171.57,,17.85,19.75,32.54,1.4,30.01,27.72,,,0,10040.96,319
8641,Modesto,04-09-2015,93.36,153.48,21,50.35,81.6,25.07,1.53,7.39,8.86,26.38,0.47,3.14,19384.96,243
8642,Las_cruces,03-06-2020,44.26,83.48,6.13,40.43,28.37,21.15,0.97,53.68,10.87,,,,6754.96,97
8643,Modesto,07-09-2019,39.05,99.84,25,33.54,43.09,,0.88,24.71,10.92,13.54,0.03,1.83,19812.96,89
8644,Sanfransisco,11-03-2019,36.57,60.96,0.97,2.6,1.17,2.01,0.31,40.91,4.38,0.19,,0.1,12004.96,76
8645,Redding,18-11-2018,82.41,108.01,16.61,3.54,17.51,7.78,1.16,15.51,5.53,1.24,0.99,1.22,11627.96,178
8646,Nevada,10-05-2019,12.33,30.12,1.76,9.59,6.73,6.51,0.46,22.54,16.29,,,0,17223.96,30
8647,Camden,12-05-2015,,,15.19,8.61,10.52,,1.24,13.67,10.22,,,,3194.96,112
8648,LosAngeles,14-02-2020,52.92,106.54,10.32,69.44,28.65,11.65,0.68,32.06,10.83,39.63,2.56,3.12,5359.96,112
8649,Chico,30-06-2019,25.71,,7.09,14.35,17.85,6.17,0.94,13.19,6.78,11.16,,0.39,16539.96,73
8650,Mexico,24-07-2017,23.65,48.79,2.11,8.47,5.88,26.75,0.59,15.14,10.82,2,0.11,0.18,2191.96,65
8651,Chico,29-07-2017,121.44,,11.78,48.43,,,1.76,16.4,7.49,15.56,,2.09,2989.96,327
8652,Bakersfield,07-08-2019,18.73,50.57,11.07,23.23,29.15,,0.75,45.52,18.91,,,7.68,16993.96,48
8653,Edinburg,01-08-2017,158.16,,12.44,26.68,46.62,,1.89,12.67,7.58,0.75,0.47,0.19,16143.96,329
8654,Camden,13-01-2018,152.89,,6.42,14,,,0.57,24.07,4.94,2.3,,0.02,4441.96,359
8655,LosAngeles,05-05-2019,69.39,133.22,10.41,23.86,14.42,29.66,0.09,61.74,10.7,0.75,0.47,0.19,10794.96,164
8656,Bakersfield,12-10-2019,81.64,120.24,14.75,49.61,84.38,27.69,0.98,30.23,18.97,,,6.08,15765.96,130
8657,Coyhaique,17-12-2019,36.53,71.68,1.78,10.87,7.55,13.66,1.17,33.19,4.14,,,,527.96,85
8658,Chico,09-06-2018,29.63,,4.17,12.91,10.38,19.18,1.13,26.34,6.29,8.6,,0,13354.96,114
8659,Redding,10-02-2019,21.99,42.79,8.65,4.26,14.41,3.42,0.4,34.57,11.12,1.11,1.06,3.96,18587.96,54
8660,Shreveport,18-03-2018,175.43,,6.87,59.47,25.68,,7.49,40.98,64.27,32.43,8.39,4.06,14205.96,485
8661,Fresno,16-03-2018,,96.45,8.11,7.77,,18.5,0.31,8.88,20.67,,,,3493.96,106
8662,Mexico,27-03-2017,38.32,57.82,1.74,19.81,10.93,1.66,0.67,30.13,12.59,3.92,0.19,0.81,16917.96,69
8663,Sandiago,23-02-2019,25.38,40.53,5.58,12.28,19.12,19.28,0.95,19.54,5.24,0,,0.06,173.96,49
8664,Sanfransisco,27-05-2019,37.1,119.99,0.71,10.1,2.5,7.75,0.12,33.63,5.76,0.02,,0.01,2209.96,126
8665,Sandiago,07-12-2017,44.89,,5,12.03,10.25,,0.03,13.52,3.49,0,,0,8694.96,67
8666,Edinburg,26-01-2020,132.84,,15.17,48.29,63.8,,1.14,17.14,8.73,0.59,0.26,0.14,11920.96,360
8667,Sandiago,08-09-2015,37.8,,7.07,14.56,17.59,27.87,2.49,10.44,1.19,2.06,,1.55,3456.96,102
8668,Edinburg,06-07-2015,,,12.42,15.89,14.5,,0.92,8.65,5.92,0.78,0.53,0.18,862.96,112
8669,Mexico,28-07-2018,32.68,72.24,11.26,33.61,30.81,13.64,0.65,11.08,10.39,0.08,0.1,0.02,17471.96,43
8670,California,25-06-2020,16.95,25.64,8.72,8.41,20.46,15.39,0.84,25.59,12.15,0,,0.01,2020.96,90
8671,Coyhaique,26-05-2020,,0.06,0.64,3.9,1.23,1.18,0.96,21.31,7.8,,,,13418.96,112
8672,Logan,30-03-2020,30.25,172.17,24.19,33.56,50.15,8.42,0.59,36.94,8.55,8.22,1.95,4.19,14534.96,113
8673,NewYork,03-03-2019,39.82,125.83,9.69,13.39,19.51,41.12,0.41,19.59,7.54,1.41,7.41,1.12,18321.96,118
8674,Fresno,19-07-2018,26.38,29.94,8.74,9.52,,7.79,0,21.39,25.51,,,,4649.96,112
8675,Sandiago,03-08-2020,67.76,,5.6,10.82,14.98,19.84,0.9,13.65,3.13,,,1.66,6603.96,116
8676,Logan,28-04-2020,32.3,,18.42,48.26,44.07,8.17,1.84,,17.15,9.15,3.1,7.39,6650.96,96
8677,Modesto,04-07-2015,54.93,410.24,4.91,23.11,21.5,32.53,1.29,35.17,6.8,30.64,0.47,1.07,11845.96,234
8678,Fresno,05-08-2020,32.5,85.09,20.24,10.96,,9.13,2.19,39.08,61.07,,,,1771.96,115
8679,Chico,02-10-2020,110.54,,9.5,61.85,29.65,23.91,0.36,31.54,15.34,0.27,,0.17,11779.96,313
8680,NewYork,02-05-2019,67.19,111.93,15.51,9.39,22.51,1.15,0.33,21.62,4.91,0.69,1.92,2.29,16574.96,120
8681,Camden,08-12-2016,45.44,,2.79,4.5,5.01,,0.33,24.94,2.67,,,,3060.96,75
8682,Bakersfield,13-07-2019,17.64,72.39,23.31,26.69,43.78,,0.82,31.49,9.14,,,1.01,8044.96,76
8683,Carlsbad,28-07-2015,45.33,,2.99,10.65,7.51,32.57,8.16,10.64,7.28,9.96,,3.79,19040.96,127
8684,Visalia,14-02-2018,94.19,192.36,92.77,58.89,83.2,40.6,1.66,27.83,13.4,43.91,2.61,34.3,12987.96,221
8685,Shreveport,15-12-2019,96.67,,42.01,94.49,63.45,,26.42,35.17,41.09,16.02,1.04,3.94,2449.96,553
8686,Logan,18-05-2020,18.6,46.22,17.57,32.94,38.93,9.29,1.06,36.45,7.06,9.31,2.45,3.83,200.96,61
8687,Shreveport,12-07-2019,12.14,,29.36,98.98,84.49,,45.47,36.78,160.51,32.39,7.06,4.05,4671.96,686
8688,Mexico,24-06-2020,13.72,20.37,1.56,3.19,1.29,14.63,0.32,30.44,13.97,0,0.1,0,8124.96,32
8689,Sandiago,06-01-2015,45.88,,3.46,8.27,6.96,,0.02,29.91,4.68,0.11,,0.02,8259.96,176
8690,Camden,22-05-2020,18.73,28.41,0.85,13.86,9.83,43.92,0.74,47.61,23.39,3,3.31,2.61,6308.96,82
8691,Carlsbad,08-10-2019,25.53,70.08,10.33,27.14,21.76,31.03,0.96,57.97,5.22,1.76,,0.25,1225.96,98
8692,Camden,24-04-2016,111.89,,19.94,23.6,28.8,,0.94,25.72,15.24,4.2,,0.03,4882.96,305
8693,Camden,02-07-2019,115.36,226.38,45.13,21.26,57.09,,4.88,22.18,6.11,0,,0,19478.96,276
8694,Sanfransisco,10-03-2019,16.17,30.74,0.82,2.44,1.03,2.66,0.17,24.97,5.15,0.91,,0.53,15717.96,33
8695,Camden,20-03-2016,111.22,,9.4,21.82,,,0.86,52.15,5.22,3.32,,0.03,1840.96,253
8696,LosAngeles,01-08-2019,63.45,111.5,8.83,46.56,19.53,34.75,0.39,40.24,23.52,0.06,0,0,14877.96,129
8697,Camden,15-11-2018,131.51,,27.28,37.37,39.45,,0,58.03,3.2,,,,7792.96,289
8698,Chico,18-07-2015,54.9,,3.67,30.32,4.81,,1.14,15.3,6.39,0.61,,1.31,14784.96,490
8699,Padrelascasas,28-04-2019,36.87,170.99,32.88,19.54,13.01,,0.47,23.38,5.81,,,0.16,1207.96,172
8700,Sandiago,22-07-2015,17.73,,7.39,12.68,14.2,,0.18,9.01,4.81,0.15,,0.18,12302.96,85
8701,Coyhaique,01-03-2020,43.45,112.59,8.41,15.98,17.93,14.41,0.7,23.57,4.96,,,,615.96,95
8702,NewYork,01-03-2020,18.63,67.83,21.11,10.99,31.32,21.23,0.28,15.06,6.9,2.39,3.1,0.22,8575.96,79
8703,Coyhaique,13-08-2018,16.41,63.73,14.03,8.64,14.18,25.79,0.9,15.03,2.89,,,,14833.96,71
8704,Modesto,24-05-2015,82.35,182.99,18.72,61.81,75.71,29.41,1.19,31.98,12.05,15.14,0.02,3.57,5883.96,254
8705,Coyhaique,08-11-2019,14.85,43.41,1.69,2.91,4.17,10.52,0.51,19.3,3.4,,,,16956.96,44
8706,Camden,06-06-2020,83.65,196.74,6.87,23.21,18.8,32.01,0.53,57.12,14.26,1.63,3.7,5.37,4925.96,149
8707,Medellin,16-05-2016,,,,,0,33.71,,9.89,,,,,12881.96,112
8708,Modesto,06-09-2015,179.28,342.6,62.69,75.87,133.59,62.28,2.71,45.16,16.29,107.01,3.49,63.03,15378.96,397
8709,Carlsbad,23-02-2019,39.73,108.66,4.51,26.85,16.61,22.63,0.81,48.52,2.91,0.91,,0.14,18943.96,126
8710,Las_cruces,05-07-2019,47.2,147.77,3.97,6.41,4.92,1.19,0.51,27.6,11.75,,,,3040.96,143
8711,Logan,07-09-2019,15.28,54.6,8.06,22.77,18.6,2.45,0.35,23.01,4.3,7.97,1.69,2.63,8453.96,72
8712,Visalia,17-06-2019,62.7,121.29,20.17,66.57,45.68,33.06,1,24.34,1.14,12.47,,5.65,6414.96,147
8713,Camden,31-07-2018,53.12,69.65,18.26,22.63,25.07,22.46,1.06,22.89,9.22,1.66,1.75,8.04,5035.96,110
8714,Padrelascasas,30-10-2019,52.2,100.5,2.85,10.55,11.13,12.58,0.07,42.03,12.4,,,0.17,14322.96,111
8715,Mexico,14-06-2019,12.13,82.94,1.99,15.11,11.27,4.7,0.51,11.39,7.24,0.57,0.12,0.12,478.96,49
8716,Sandiago,08-03-2018,48.89,,10.58,20.79,19.58,18.55,0.83,14.76,5.36,0.09,,0,2938.96,78
8717,Fresno,25-05-2019,,159.29,6.76,7.49,,5.03,0.33,17.08,21.08,,,,1843.96,121
8718,Chico,12-07-2019,146.51,,23.95,73.67,41.64,3.05,1.11,36.64,9.43,15.37,,10.75,19399.96,304
8719,Modesto,06-12-2018,94,206,22.26,44.89,47.48,24.24,1.36,40.06,26.09,6.09,,3.57,4579.96,242
8720,Nevada,26-04-2020,10.91,55.61,3.1,8.33,14.73,15.05,0.51,41.65,13.11,,,0.2,11872.96,76
8721,Mexico,10-08-2019,15.05,31.02,1.86,9.5,5.56,4.1,0.46,32.84,6.07,0.12,,0.02,7698.96,43
8722,Sandiago,16-04-2020,39.11,,10.86,20.62,21.81,41.63,0.86,27.61,4.83,4.43,,0.69,8345.96,72
8723,Carlsbad,21-10-2019,20.72,44.11,18.7,14.03,22.96,62.38,0.77,23.98,5.61,2.38,,0.75,607.96,54
8724,Chico,01-07-2019,138.62,,6.85,4.99,2.72,,14.18,21.93,5.04,69.68,,3.6,7900.96,235
8725,Las_cruces,25-11-2019,53.93,123.24,12.26,45.57,34.13,52.43,0.87,26.22,12.45,,,,18042.96,136
