City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
Jorapokhar,19/04/2020,,120.78,6.61,7.19,,2.4,0.3,1.29,28.44,,,,9857.96,
Jorapokhar,11/12/2016,,146.54,12.45,11.15,,6.7,0.3,6.55,57.16,,,,9858.96,105
Brajrajnagar,17/04/2019,118.2,223.59,70.86,20.7,21.74,6.24,1.18,32.18,10.36,,,0,9859.96,
Amritsar,18/08/2019,84.94,78.33,10.37,14.91,19.75,2.38,0.61,0.69,17.76,1.23,1.98,3.18,9860.96,99
Patna,16/02/2016,97.89,,20.26,35.89,21.69,,1.66,12.32,80.56,,,0.5,9861.96,323
Delhi,23/09/2016,67.54,87.59,24.28,57.09,24.2,37.57,0.31,16.38,,0,,0.19,9862.96,136
Jaipur,24/02/2020,40.96,67.27,5.84,18.8,26.13,17.14,0.83,55.93,12.04,4.3,,0.31,9863.96,112
Patna,26/08/2018,27.69,,9.66,39.53,31.9,,1.06,39.1,39.55,8.29,5.58,0.81,9864.96,76
Gurugram,24/04/2019,46.69,129.26,31.98,15.3,45.91,,0.58,26.08,7.94,6.01,,1.99,9865.96,114
Visakhapatnam,29/04/2018,39.15,70.56,7.05,27.77,23.54,10.55,0.5,53.28,1.1,5.28,0.24,2.41,9866.96,93
Ahmedabad,05/03/2019,37.66,85.25,1.79,15.91,9.47,16.1,0.3,46.72,9.96,2.31,0.19,0.48,9867.96,80
Delhi,08/10/2017,171.43,383.65,69.94,57.28,123.72,31.87,5.17,34.77,19.44,12.82,2.39,3.34,9868.96,388
Jorapokhar,06/04/2017,38.8,60.08,8.78,9.18,,23.29,,43.23,13.57,,,,9869.96,87
Jaipur,26/03/2020,32.96,137.69,8.84,24.53,32.1,13.93,0.95,50.45,9.15,5.04,,0.54,9870.96,117
Chennai,21/01/2018,37.8,52.26,5.04,15.37,17.53,62.57,0.75,56.56,24.22,1.78,,0.11,9871.96,109
Gurugram,18/02/2019,41.71,121.51,28.05,24.06,40.97,,0.99,,8.76,0,,0,9872.96,96
Patna,03/12/2018,172.57,,43.28,21.83,69,9.61,1.69,25.3,16.04,0.84,0.43,0.27,9873.96,330
Chennai,31/05/2017,28.12,,8.22,14.26,11.09,112.66,1.57,45.96,4.09,,,,9874.96,66
Lucknow,24/07/2015,36.89,,20.74,21.97,4.22,,2.18,13.81,9.55,4.8,,1.06,9875.96,167
Kolkata,14/09/2019,31.57,40.35,4.97,11.11,18.5,2,0.37,24.01,3.76,6.27,0.33,1.57,9876.96,47
Mumbai,14/04/2020,19.47,40.58,22.49,21.06,40.39,5.91,0.6,12.52,6.28,,,1.31,9877.96,84
Amaravati,22/05/2018,16.71,63.76,1.4,4.28,4.96,4.04,0.62,30.45,,0.03,,0,9878.96,66
Delhi,21/08/2019,26.7,107.4,22.44,22.25,29.44,28.33,1.03,9.82,10.33,11.48,0.31,2.11,9879.96,124
Chennai,08/10/2017,77.38,,11.47,27.41,16.5,71.29,0.74,17.53,10.06,0.12,,0.55,9880.96,160
Ahmedabad,12/06/2018,17.51,,54.62,32.74,50.72,,35.37,,21.87,24.8,3.14,6.5,9881.96,758
Bengaluru,05/05/2019,60.47,105.51,9.06,25.67,28.72,20.85,1.07,23.12,7.23,1.69,,0.6,9882.96,121
Amaravati,27/09/2019,9.12,20.45,1.4,4.13,4.79,1.53,0.42,13.41,21.19,0.83,0.15,0.05,9883.96,35
Delhi,21/06/2018,56.48,194.52,10.33,36.49,31.66,25.47,0.76,38.52,14.45,24.51,0.81,1.63,9884.96,132
Thiruvananthapuram,09/04/2019,53.09,129.46,3.55,17.72,17.54,15.1,1.62,47.06,5.43,,,,9885.96,126
Amaravati,14/03/2017,48.61,111.26,7.14,38.49,30.89,8.86,0.08,19.68,13.64,3.9,0.09,0,9886.96,113
Bengaluru,08/05/2019,58.43,114.15,8.45,37.84,18.02,18.42,0.82,35.79,3.8,3.18,,0.99,9887.96,133
Talcher,18/06/2019,25.45,89.38,8.56,13.06,15.67,16.86,0.87,39.51,21.39,,,0,9888.96,81
Hyderabad,14/03/2019,65.84,118.48,3.97,27.74,16.81,27.34,0.54,36.11,3.84,19.27,6.68,3.4,9889.96,105
Thiruvananthapuram,20/06/2020,11.28,38.03,2.72,6.51,7.11,18.17,0.7,27.37,7.45,,,,9890.96,38
Hyderabad,18/11/2017,70.35,153.68,13.66,46.49,27.6,20.35,0.76,43.23,6.36,7.55,1.84,3.07,9891.96,141
Bengaluru,29/02/2020,46.53,63.09,8.72,30.68,26.01,10.44,0.94,31.24,4.77,1.5,,0.74,9892.96,89
Mumbai,28/03/2015,,,,,71.66,,0,,,0,0,0,9893.96,
Talcher,26/09/2019,,,,,,,,,,,,,9894.96,76
Gurugram,16/01/2016,,,14.51,12.01,13.53,,1.6,5.85,9.97,,,,9895.96,
Chennai,02/01/2015,,,4.48,19.77,21.83,5.8,1.66,24.86,1.07,,,,9896.96,
Ahmedabad,18/05/2015,31.49,,11.25,15.62,24.25,,0.41,34.59,,33.45,7.04,6.63,9897.96,342
Lucknow,07/08/2015,29.67,,7.76,20.83,18.76,43.05,1.01,48.77,4.84,1.64,,0.36,9898.96,65
Lucknow,10/12/2017,108.44,,16.36,21.49,4.43,,1.16,5.66,3.23,1.89,,0.81,9899.96,312
Visakhapatnam,25/03/2019,43.39,135.92,17.61,23.07,31.79,8.52,0.91,17.79,12,8.1,1.74,2.64,9900.96,112
Visakhapatnam,03/04/2018,94.27,340.66,20.12,67.66,54.12,,1.04,40.6,13.87,9.09,5.5,4.46,9901.96,148
Amaravati,01/12/2019,65.73,80.43,1.77,16.59,9.98,15.37,0.57,48.62,8.97,0.85,0.13,0.09,9902.96,130
Hyderabad,27/12/2018,60.48,117.73,40.74,37.91,44.12,,0.64,34.58,7.77,21.47,4.48,4.09,9903.96,140
Amaravati,03/06/2019,37.64,115.16,4.45,19.77,15.52,20.47,1.05,43.15,23.98,1.92,0.32,0.11,9904.96,118
Bengaluru,08/09/2017,24.54,39.87,22.62,25.53,32.58,8.12,0.92,27.98,5.05,0.32,,0.11,9905.96,56
Visakhapatnam,07/05/2018,59.44,133.86,17.96,45.34,40.91,29.34,1.14,23.07,14.38,15.91,6.64,9.96,9906.96,141
Lucknow,21/12/2018,155.97,,14.44,60.81,44.56,22.37,0.56,31.03,9.12,0.13,,0.27,9907.96,302
Bengaluru,24/03/2017,22.74,94.12,16.66,30.71,33.92,17.42,0.83,52.26,3.96,0.66,,0,9908.96,90
Thiruvananthapuram,13/10/2017,30.43,49.29,3.77,8.74,10.58,6.83,0.5,70.32,9.88,,,,9909.96,91
Delhi,23/11/2015,198.12,227.15,26,47.81,44.15,22.61,0.92,46.11,10.8,17.42,0.09,3.05,9910.96,328
Amaravati,06/03/2020,23.87,103.26,7.76,12.34,12.72,6.17,0.43,42.54,5.14,1.01,,0.73,9911.96,97
Visakhapatnam,08/04/2017,30.2,151.54,8.6,18.12,19.2,10.41,0.55,38.29,6.72,6.01,2.31,4.24,9912.96,76
Lucknow,01/01/2019,278.2,,11.25,36.81,34.39,29.81,0.92,33.95,7.07,0.24,,0.18,9913.96,391
Amritsar,18/06/2019,38.7,95.48,12.62,9.12,13.54,4.01,0.47,18.4,19.36,1.2,1.92,1.49,9914.96,91
Lucknow,02/01/2019,215.13,,87.76,65.55,78.82,59.62,1.43,35.87,11.71,5.63,,2.13,9915.96,359
Ahmedabad,28/09/2017,,,,,,,,,,,,,9916.96,
Mumbai,27/01/2015,,,,,31.26,,0,,,0,0,0,9917.96,
Bengaluru,30/03/2018,,,2.28,18.3,14.17,10.62,1.72,,4.43,29.32,,3.6,9918.96,
Guwahati,26/10/2019,,30.22,1.5,8.31,6.07,6.34,0.18,28.23,18.7,,,0,9919.96,
Chennai,02/10/2015,20.14,,9.86,12.21,19.63,17.9,0.9,37.22,9.54,1.85,,0,9920.96,
Patna,21/06/2018,42.61,,12.93,5.31,19.8,,0.59,43.22,6.27,0.64,0.14,0.14,9921.96,
Gurugram,26/09/2016,81.07,,3.81,11.58,,,0.86,18.2,5.28,2.12,,0.02,9922.96,247
Bhopal,12/06/2019,30.75,79.78,9.7,34.9,27.72,9.9,1.11,23.81,13.72,,,,9923.96,102
Chennai,19/04/2020,75.9,,8.89,16.51,21.99,40.56,1.03,27.7,8.08,0.14,,0.07,9924.96,146
Jaipur,01/01/2017,44.53,80.74,18.97,32.53,39.26,25.22,0.7,39.9,10.66,12.39,,0.26,9925.96,114
Bengaluru,20/08/2015,53.54,,3.96,19.22,12.38,25.91,9.09,20.26,1.13,4.27,,,9926.96,178
Jorapokhar,16/06/2017,33.37,76.48,9.19,9.4,,24.22,0.72,41.88,5.2,,,,9927.96,74
Talcher,23/04/2019,50.17,50.78,6.06,4.58,,1.49,2.2,50.61,43.6,,,0,9928.96,66
Jorapokhar,26/06/2018,22.43,40.42,4.24,9.45,,11.57,,15.48,19.6,,,,9929.96,48
Brajrajnagar,07/01/2020,74.56,136.43,,,,6.6,2.63,29.34,3.8,,,2.34,9930.96,130
Chennai,20/12/2015,64.72,,5.6,13.69,15.55,317.57,1.23,29.04,6.18,,,,9931.96,188
Jorapokhar,27/06/2020,26.56,54.29,26.07,10.93,,2.3,2.5,18.73,39.51,,,,9932.96,101
Gurugram,18/07/2018,80.96,,1.15,37.27,15.39,,0.01,22.78,5.5,,,0,9933.96,77
Delhi,14/06/2018,107.34,258,32.12,37.19,57.83,46.1,1.49,32.22,10.74,26.62,0.36,4,9934.96,256
Lucknow,15/09/2017,53.5,,7.11,16.3,4.81,,1.23,31.4,4.45,3.09,,1.16,9935.96,117
Delhi,31/03/2018,138.86,216.77,25.71,53.87,60,34.16,1.2,47.62,39.66,0,0,0,9936.96,163
Delhi,08/05/2016,138.49,237.96,69.4,74.63,46.29,39.96,0.28,23.99,26.32,6.86,,3.72,9937.96,226
Talcher,08/12/2019,47.53,128.41,7.87,28.06,31.68,,1.53,27.28,13.44,,,0,9938.96,116
Talcher,12/06/2019,33.17,90.09,43.7,,25.55,9.69,0.83,0.95,17.52,,,0,9939.96,106
Kochi,16/04/2019,80.04,94.1,18.39,30.69,50.76,,1.24,50.95,16.89,0,,,9940.96,104
Brajrajnagar,13/04/2019,106,225.22,17.77,30.97,36.45,45,3.26,8.72,9.16,,,0,9941.96,210
Guwahati,19/09/2019,46.71,93.48,4.5,10.55,11.1,6.31,0.74,26.97,12.38,,,0,9942.96,120
Mumbai,17/07/2018,20.23,35.75,43.18,28.74,50.97,,1.13,24.91,18.41,,,0.59,9943.96,68
Amritsar,09/05/2018,29.92,61.11,24.79,11.05,,7.62,0,46.85,4.26,,,,9944.96,91
Hyderabad,03/11/2015,42.3,107.42,10.5,25.09,12.9,10.47,0.42,36.67,10.32,18.81,0.94,2.06,9945.96,119
Gurugram,07/06/2018,19.25,68.4,24.56,7.12,36.08,,0.29,31.97,6.74,0,,0,9946.96,96
Mumbai,09/03/2019,29.87,98.54,30.54,44.35,71.39,27.78,0.66,18.94,8.82,,,3.85,9947.96,116
Delhi,08/04/2019,93.09,176.95,62.55,68.9,101.26,26.29,1.41,45.44,22.46,19.37,,7.77,9948.96,258
Jorapokhar,26/02/2020,,88.03,9.36,9.41,,8.96,0.22,39.51,15.28,,,,9949.96,93
Lucknow,27/09/2017,41.3,,15.16,14.89,1.96,,1.4,90.04,4.77,0.1,,0.03,9950.96,113
Mumbai,20/09/2019,22.6,57.6,24.16,16.94,39.01,22.23,1.1,16.9,7.32,,,1.95,9951.96,61
Amaravati,24/06/2016,19.74,,2.21,8.24,6.28,21.04,0.09,,17.18,0.85,0.1,0.11,9952.96,31
Jaipur,13/02/2019,84.47,226.91,6.44,43.76,51.54,25.17,0.61,39.73,7.79,7.6,,1.77,9953.96,257
Mumbai,15/07/2018,13.32,59.9,51.59,19.43,70.86,,1.43,32.36,15.07,,,1.39,9954.96,88
Gurugram,17/12/2019,52.86,117.96,12.48,16.69,26.81,,0.57,21.1,8.24,6,,1.99,9955.96,158
Mumbai,17/07/2018,17.82,66.91,21.85,10.05,43,,0.57,18.17,6.72,,,1.77,9956.96,66
Bengaluru,22/08/2016,23.91,,7.7,42.96,0,21.49,0.45,40.27,4.4,0.46,,0.01,9957.96,66
Amaravati,02/03/2017,45.46,86.88,3.83,8.5,9.92,1.03,2.56,23.18,6.8,,,0,9958.96,98
Bhopal,24/05/2018,40.91,60.65,12.61,42.29,34.49,39.6,0.77,45.78,13.39,,,,9959.96,85
Hyderabad,24/06/2018,12.45,24.55,3.95,16.45,13.89,16.14,0.46,24.78,3.91,5.09,0.39,0.37,9960.96,37
Shillong,13/05/2020,11.07,24.97,1.15,3.54,1.58,3.08,0.54,27.93,5.97,2.16,,0.58,9961.96,44
Amaravati,06/05/2020,10.87,29.62,1.73,8.35,2.9,9.33,0.47,22.1,26.23,1.27,0.14,0.13,9962.96,36
Thiruvananthapuram,31/07/2019,12.54,20.5,0.85,3.99,3.59,1.86,0.9,15.01,0.99,,,,9963.96,42
Bhopal,20/04/2020,24.11,45.91,3.63,11.64,11.51,18.82,0.56,49.84,10.91,,,,9964.96,84
Jaipur,12/12/2016,71.02,207.99,15.68,52.44,51.23,27.94,1.08,30.83,9.46,3.94,,3.04,9965.96,188
Lucknow,30/03/2015,273.78,,9.03,84.76,,,2.04,19.55,6.88,15.61,,5.64,9966.96,317
Mumbai,04/08/2018,17.96,53.8,47.16,16.62,54.34,,1.14,52.75,9.21,,,0.31,9967.96,79
Kolkata,14/08/2019,27.09,61.33,5.68,13.1,21.3,1.08,0.36,19.53,8.61,10.26,0.74,2.46,9968.96,40
Hyderabad,18/02/2019,62.57,147.41,8.81,14.1,17.88,31.5,0.93,10.37,9.17,24.63,7.87,4.61,9969.96,136
Visakhapatnam,19/11/2017,91.01,156.8,25.74,63.5,90.93,22.22,1.45,122.48,13.88,16.25,4.66,6.29,9970.96,219
Delhi,05/05/2018,74.53,122.48,13.87,22.63,28.36,29.34,0.92,42.33,10.62,24.55,0.77,2.17,9971.96,124
Ahmedabad,16/12/2019,144.98,,28.79,55.27,26.28,,30.22,,61.12,16.02,0.65,3.94,9972.96,872
Guwahati,22/05/2020,22.35,48.77,9.56,14.29,29.13,24.14,0.51,27.79,10.51,,,0,9973.96,62
Kochi,08/03/2018,34.99,49.65,0.66,2.29,4.58,81.55,1.58,22.85,21.28,0,,,9974.96,63
Amaravati,14/02/2016,62.61,133.37,3.23,26.25,15.18,8.89,1.04,36.75,14.63,1.9,0.1,0.16,9975.96,140
Amaravati,11/03/2018,87.17,119.87,17.26,65.79,60.88,9.99,0.95,20.85,7.98,0,,0.03,9976.96,183
Lucknow,10/03/2019,19.3,,7.94,8.33,4.74,,1.89,18.29,6.48,0.97,,0.7,9977.96,74
Hyderabad,14/12/2019,66.82,90.89,6.55,44.7,31.24,19.76,0.97,38.74,9.56,18.21,3.68,1.99,9978.96,101
Gurugram,13/04/2019,50.18,128.02,16.62,47.33,38.94,,1.11,29.66,3.65,2.73,4.23,0.95,9979.96,125
Amaravati,30/03/2019,54.66,157.23,3.11,13.43,10.36,13.45,0.59,59.9,23.95,1.09,0.13,0.38,9980.96,112
Amaravati,04/03/2018,137.61,209.45,4.46,67.67,30.77,39.35,1.15,23.45,19.59,0.32,0.17,0.03,9981.96,252
Ahmedabad,10/12/2018,726.63,,29.57,58.88,49.61,,32.66,36.78,73.37,25.69,0.43,6.41,9982.96,895
Amritsar,28/10/2018,84.4,152.71,47.33,118.59,109.25,12.67,1.04,8.23,8.02,11.69,10.73,9.95,9983.96,160
Hyderabad,20/04/2020,30.54,76.9,2.4,35.75,17.33,,0.82,9.13,4.34,5.75,1.04,1.67,9984.96,60
Visakhapatnam,25/04/2016,75.83,155.41,11.63,133.92,46.93,39.58,0.99,46.97,18.59,9.11,2.24,6.33,9985.96,226
Lucknow,08/10/2018,123.46,,16.21,78.57,19.95,38.61,0.21,37.27,5.35,0,,0,9986.96,312
Thiruvananthapuram,06/06/2019,25.16,39.84,1.99,16.09,12.38,14.16,0.94,19.33,17.7,,,,9987.96,68
Guwahati,28/08/2019,26.37,41.37,0.86,4.87,2.46,2.32,0.37,21.39,27.03,,,0,9988.96,59
Delhi,05/05/2019,71.66,188.36,23.96,37.81,59.28,16.39,1.33,20.53,12.15,35.87,1.46,4.04,9989.96,172
Chandigarh,13/08/2019,26.92,54.17,13.24,15.33,13.9,19.73,0.46,18.76,7.27,0.13,0.57,6.55,9990.96,47
Ahmedabad,04/03/2015,74.27,,31.36,67.6,48.63,,23.49,66.87,29.52,80.04,1.48,6.3,9991.96,308
Hyderabad,31/01/2020,45.81,101.54,2.62,35.15,22.21,2.57,0.81,37.46,8.57,5.61,1.48,1.24,9992.96,117
Delhi,05/05/2018,120.27,290.92,49.09,45.69,52.7,22.11,1.62,62.19,21.84,38.66,0.77,5.57,9993.96,325
Bengaluru,15/03/2020,36.68,86.18,13.74,24.95,22.61,10.06,0.98,69.51,4.02,0,,0,9994.96,80
Hyderabad,15/05/2018,46.8,95.51,5.77,45.44,25.19,19.72,0.79,44.27,4.58,6.39,0.14,1.18,9995.96,120
Delhi,23/08/2019,38.58,46.13,17.26,38.09,38.57,,1.22,55.71,18.32,27.02,0.98,2.34,9996.96,89
Amaravati,09/10/2019,31.19,79.01,3.98,7.87,7.86,2.12,0.54,19.74,12.01,0.65,0.13,0.1,9997.96,74
Thiruvananthapuram,19/08/2018,22.2,47.31,3.37,2.68,4.29,1.2,0.87,33.97,6.86,,,,9998.96,63
Bengaluru,06/11/2018,21.51,44.45,8.44,21.44,18.89,13.97,0.97,34.84,3.24,0.95,,0.68,9999.96,63
Coimbatore,12/09/2019,22.05,36.8,9.95,11.22,22.26,70.05,1.78,21.43,10.52,0.19,,0.01,10000.96,60
Hyderabad,30/01/2017,51.75,110.48,6.32,29.5,26.07,12.57,0.79,42.16,11.35,16.39,2.05,2.55,10001.96,120
Hyderabad,18/10/2019,31.9,101.74,8.71,32.63,21.46,24.82,0.52,51.28,8.84,12.94,2.71,1.2,10002.96,91
Shillong,24/10/2019,44.57,63.97,0.81,0.61,0.43,1.27,0.43,23.34,9.51,0,,0,10003.96,82
Chennai,05/11/2015,38.85,,4.19,11.63,12.3,241.04,9.27,40.22,4.42,4.82,9.94,4.98,10004.96,55
Amritsar,20/06/2018,32.95,113.25,21.38,29.79,49.83,7.07,0.65,12.81,3.38,1.9,8,1.68,10005.96,117
Amritsar,13/12/2018,36.49,102.24,9.77,10.69,22.52,8.06,0.33,7.71,6.13,1.89,1.92,1.65,10006.96,118
Bengaluru,01/09/2017,20.74,60.66,10.61,46.29,0,64.14,0.83,32.95,3.5,3.98,,2.71,10007.96,65
Visakhapatnam,11/02/2020,51.06,107.37,12.75,36.77,28.81,1.69,0.95,38.57,5.99,15.41,4.35,6.63,10008.96,182
Bengaluru,07/09/2019,15.76,68.64,17.24,20.47,36.44,14.54,1.42,22.72,7.17,1.09,,0.29,10009.96,61
Ahmedabad,20/10/2016,72.54,,30.24,76.13,27.75,,55.83,33.03,64.92,44.41,0.99,10.62,10010.96,322
Amaravati,01/06/2019,13.97,53.12,2.48,12.13,10.65,5.3,0.51,44.65,11.49,3.32,0.1,0.23,10011.96,62
Thiruvananthapuram,19/04/2020,14.73,22.27,2.77,8.55,8.29,,1.24,15.01,3.25,,,,10012.96,59
Delhi,24/02/2015,67.39,60.02,63.04,43.11,101.84,31.47,1.5,18.5,17.51,4.23,0.43,2.12,10013.96,694
Lucknow,18/12/2017,222.41,,77.39,78.43,104.31,46.15,1.22,29.38,9.7,2.22,,0.68,10014.96,385
Hyderabad,24/10/2018,60.7,110.19,7.85,29.67,23.9,13.82,0.51,33.05,6.95,24.17,1.62,1.87,10015.96,99
Kolkata,05/11/2019,36.87,69.15,6.72,10.48,19.76,11.16,0.48,18.01,6.9,14.24,2.25,17.73,10016.96,67
Amritsar,05/09/2017,29.51,88.99,26.77,12.85,,22.86,0.99,32.98,6.51,11.08,12.69,0.96,10017.96,60
Amaravati,26/01/2020,42.12,58.5,1.17,9.39,3.14,5.83,1.08,31.79,12.44,0.13,0.17,0.17,10018.96,52
Bengaluru,18/10/2019,60.65,50.75,6.75,18.09,22.94,10.17,1.01,25.06,4.55,4.84,,0.97,10019.96,80
Visakhapatnam,18/05/2018,49.85,121.86,5.19,23.48,20.2,9.85,0.97,25.44,9.19,11.31,1.77,3.11,10020.96,128
Hyderabad,25/10/2019,84.82,56.76,60.85,30.24,13.14,6.72,0.68,16.45,9.19,4.79,0.74,1.65,10021.96,69
Thiruvananthapuram,26/05/2018,29.82,57.74,0.79,8.33,5.53,5.09,0.87,30.26,10.04,,,,10022.96,98
Amaravati,18/10/2019,29.43,70.49,4.49,17.89,16.09,14.24,0.99,41.45,16.05,2.23,0.12,0.38,10023.96,65
Gurugram,09/12/2017,,,,,2.9,,0,,,,,,10024.96,
Mumbai,16/12/2017,,,,,10.05,,0,,,0,0,0,10025.96,
Visakhapatnam,12/05/2020,,,,,0,,0,47.27,,0,0,0,10026.96,
Mumbai,18/05/2015,,,,,26.79,,0,,,0,0,0,10027.96,
Gurugram,01/11/2018,66.3,143,8,17.02,12.34,,0.48,42.4,17.14,6,,2,10028.96,144
Patna,06/02/2016,87.05,,19.15,,26.01,,2.53,40.08,6.83,1.6,0.89,0.25,10029.96,199
Jorapokhar,28/11/2018,,361.66,7.58,7.23,,6.84,,19.87,,,,,10030.96,345
Chennai,19/03/2015,,,9.35,9.5,12.98,15.02,1.42,47.68,11.54,,,,10031.96,
Brajrajnagar,01/04/2018,67.57,137.3,,,0,,0.39,,,,,0.03,10032.96,162
Bengaluru,13/01/2015,,,17.09,20.24,19.16,6.52,11.67,16.94,27.85,17.42,,20.04,10033.96,
Brajrajnagar,03/04/2020,43.67,90.12,,,,15.37,1.95,39.93,5.09,,,0,10034.96,107
Bhopal,30/09/2019,58.15,127.14,3.4,19.97,12.91,13.01,0.5,43.98,11.94,,,,10035.96,143
Amritsar,20/04/2019,21.73,73.4,22.09,17.82,,7.3,0,8.07,5.85,,,,10036.96,63
Lucknow,10/07/2015,43.23,,1.98,33.1,,,1.25,23.74,8.36,2.79,,5.09,10037.96,119
Bengaluru,15/04/2018,18.36,32.94,5.44,17.92,14.79,8.97,0.94,11.47,6.1,1.04,,1.18,10038.96,
Amritsar,16/04/2020,23.8,34.33,10.41,8.51,19.81,,0,26.25,1.73,1.56,1.1,1.86,10039.96,47
Talcher,07/01/2020,150.91,171.57,,17.85,19.75,32.54,1.4,30.01,27.72,,,0,10040.96,319
Delhi,17/06/2017,34.87,,17.35,32.54,5.01,24.66,0,22.05,,0,,0.84,10041.96,73
Patna,08/12/2019,231.8,,24.16,149.76,56.86,,2.97,27.14,36.99,30.92,13.43,5.6,10042.96,365
Hyderabad,06/08/2015,37.98,,4.82,13.75,19.23,,0.26,27.48,1.46,1.57,0.02,0.24,10043.96,127
Amritsar,20/05/2018,18.66,57.56,22.05,12.73,,10.4,0.32,12.52,6.14,,,,10044.96,78
Amritsar,27/12/2018,127.66,170.94,12.43,20.92,29.56,6.62,0,9.28,7.13,0,,0,10045.96,276
Amritsar,15/02/2018,56.2,133.3,39.76,30.46,59.95,9.98,0.8,14.25,,1.16,4.11,4.04,10046.96,213
Lucknow,02/02/2017,55.77,,11.9,21.4,6.24,,1.57,39.63,6.75,0.24,,0.1,10047.96,365
Jaipur,18/11/2019,50.16,88.27,19.62,39.57,47.82,19.44,1.31,29.6,9.82,10.08,,1.38,10048.96,122
Jaipur,16/01/2019,83.24,205.06,7.82,30.33,31.42,26.76,0.82,33.45,8.35,30.69,,0.73,10049.96,199
Amritsar,08/11/2015,69.58,112.17,11.88,10.12,,10.44,0,27.44,18,1.71,0.14,1.59,10050.96,188
Aizawl,18/02/2020,40.3,68.6,1.28,0.34,4.25,15.24,0.49,26.46,12.11,,,,10051.96,73
Jaipur,26/06/2018,27.08,182.48,10.79,15.93,27.69,29.94,0.64,50.82,9.58,1.51,,0.23,10052.96,110
Mumbai,28/06/2019,18.57,45.29,8.59,21.9,27.24,6.5,0.23,21.47,13.8,,,3.59,10053.96,44
Mumbai,21/02/2020,50.37,116.57,35.07,14.69,62.55,,1.98,20.86,15.65,,,0.67,10054.96,123
Talcher,21/08/2019,49.81,137.53,19.9,0.78,21.93,100.39,4.49,9.97,16.76,,,,10055.96,114
Chennai,25/08/2015,48.32,,5.51,10.47,15,23.04,1.13,42.22,12.34,0.24,,0.2,10056.96,125
Talcher,16/07/2019,79.74,285.01,57.53,26.29,111.86,56.06,3.4,25.38,43.2,0,,0,10057.96,244
Chennai,09/05/2016,35.55,51.09,6.76,11.08,17.38,27.13,0.8,14.34,10.17,2.44,,0,10058.96,78
Jaipur,08/11/2018,64.16,173.22,18.3,45.12,41.54,19.88,1.12,53.61,15.43,6.24,,2.37,10059.96,126
Hyderabad,23/07/2016,22.24,,10.13,8.92,20.82,,0.72,20.87,6.59,7.78,0.25,0.39,10060.96,89
Visakhapatnam,28/05/2018,82.76,135.6,15.3,47.12,40.79,7,1.89,38.8,18.21,10.85,8.1,8.83,10061.96,156
Chennai,08/11/2015,48.27,,8.38,14.96,15.73,1.09,0,19.77,2.46,0.1,,0.02,10062.96,75
Patna,01/07/2016,66.43,,13.68,10.29,26.16,,1.24,9.93,5.13,0.74,0.42,0.17,10063.96,122
Gurugram,17/02/2020,70.41,150.6,8.61,31.48,27.88,,0.7,15.38,6.73,0,,0,10064.96,137
Jorapokhar,20/08/2017,32.75,105.51,12.89,11.38,,6.17,1.39,32.41,17.27,,,,10065.96,126
Chennai,16/07/2015,61.78,,4.66,10.84,20,37.92,1.06,25.76,6.75,1.24,,0.06,10066.96,125
Lucknow,02/06/2016,51.7,,5.41,16.71,2.96,,1.44,29.11,8.33,0.1,,0.09,10067.96,114
Chennai,29/09/2017,70.45,,8.99,10.05,10.81,22.09,0.95,19.51,5.59,5.53,,6.29,10068.96,170
Visakhapatnam,12/01/2020,93.98,158.28,9.46,36.02,32.5,33.04,0.77,8.71,22.36,14.15,3.09,3.96,10069.96,219
Lucknow,20/10/2017,70.46,,5.57,19.42,4.25,,1.29,3.6,6.47,0.62,,0.11,10070.96,160
Thiruvananthapuram,23/09/2015,28.08,52.9,2.1,15.35,8.95,14.26,0.97,31.33,6.01,,,,10071.96,56
Thiruvananthapuram,27/06/2018,28.73,76.57,2.4,8.59,4.96,,1.33,,9.59,,,,10072.96,75
Guwahati,07/08/2018,33.33,57.48,4.39,9.14,16.33,13.88,0.46,28.27,17,,,1.04,10073.96,70
Hyderabad,11/04/2020,18.2,55.35,2.73,12.03,10.11,10.92,0.36,21.93,5.8,0.34,0.01,0.09,10074.96,54
Lucknow,24/03/2015,156.04,,62.24,39.47,36.84,33.53,1.78,36.12,17.37,6.38,,2.12,10075.96,378
Lucknow,27/06/2018,50.75,,8.27,43.38,19.93,45.65,1.52,18.76,6.72,9.4,,0.37,10076.96,96
Bengaluru,09/05/2019,50.12,66.47,3.71,19.08,9.44,91.17,0.93,8.22,5.32,3.43,,1.12,10077.96,138
Patna,06/08/2018,46.29,,11.1,86.08,21.95,,1.22,18.06,36.65,3.63,1.25,0.41,10078.96,96
Hyderabad,04/06/2016,29.5,,6.75,9.26,15.12,,0.97,28.89,6.55,1.71,0.09,0.42,10079.96,104
Thiruvananthapuram,24/07/2018,,45.8,6.81,2.45,1.49,6.15,0.51,10.65,3.93,,,,10080.96,47
Hyderabad,16/06/2016,267.77,,6.65,18.98,18.43,,0.76,17.6,7.38,4.59,0.04,0.82,10081.96,213
Delhi,12/09/2017,46.54,138.68,5.27,29.9,24.25,50.79,0.82,43.96,15.07,16.62,0.75,1.91,10082.96,254
