City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Hyderabad,2016-08-27,23.66,,6.15,15.52,20.07,,0.54,5.2,15.3,,,,99.0,Satisfactory
Chennai,2018-10-08,77.98,,3.4,15.29,16.58,28.26,0.95,4.93,20.7,0.44,0.74,,110.0,Moderate
Bhopal,2020-06-22,12.34,20.81,2.49,8.36,6.49,1.44,0.4,13.0,36.86,,,,48.0,Good
Mumbai,2019-04-05,24.87,161.31,20.25,,24.3,4.86,0.38,6.86,20.53,2.53,,,172.0,Moderate
Mumbai,2019-01-23,118.84,135.0,52.66,48.03,61.13,,2.94,18.57,29.69,4.59,,,251.0,Poor
Bengaluru,2018-03-12,92.29,200.23,6.93,34.3,29.0,21.25,1.05,3.95,18.84,2.99,3.25,,,
Jorapokhar,2019-04-13,37.76,80.6,8.74,9.18,,4.39,,19.8,37.68,,,,89.0,Satisfactory
Chennai,2017-08-24,21.59,,5.84,8.71,9.24,,0.0,4.96,7.43,0.07,0.0,,64.0,Satisfactory
Chennai,2020-04-25,26.0,47.58,6.98,6.92,19.31,33.63,1.0,7.51,42.87,0.13,0.18,,102.0,Moderate
Gurugram,2018-04-28,,,,,18.7,,0.0,,,,,,,
Bengaluru,2020-02-16,47.47,63.8,7.53,39.01,25.47,46.8,0.8,5.9,48.81,,2.02,,72.0,Satisfactory
Patna,2015-10-11,140.82,,27.71,30.32,95.58,,3.43,9.56,12.06,0.34,1.07,0.73,324.0,Very Poor
Aizawl,2020-06-24,19.72,43.96,11.9,0.18,18.76,4.76,0.23,5.61,13.71,1.52,7.96,,43.0,Good
Chennai,2015-07-04,39.25,,5.86,10.33,13.94,0.81,1.44,9.14,28.81,2.77,1.36,,188.0,Moderate
Jorapokhar,2020-03-14,,463.18,7.13,7.63,,6.54,0.32,90.55,8.74,,,,551.0,Severe
Patna,2016-12-10,294.88,,55.48,29.94,77.19,,1.61,6.29,11.5,0.46,1.24,0.99,423.0,Severe
Talcher,2019-04-16,16.16,34.63,17.23,5.89,32.41,7.93,2.71,34.83,4.85,0.0,,,89.0,Satisfactory
Amaravati,2019-02-07,70.3,104.17,3.81,27.88,21.75,16.06,0.8,17.8,38.07,0.0,4.91,0.15,165.0,Moderate
Bengaluru,2018-09-28,52.8,80.84,2.96,11.7,10.06,18.24,1.02,5.87,18.56,0.84,1.72,,106.0,Moderate
Ahmedabad,2020-03-13,35.47,83.45,5.67,11.12,9.84,,0.7,,44.58,15.76,17.16,3.71,104.0,Moderate
Thiruvananthapuram,2020-04-27,8.9,24.32,2.62,10.16,6.47,3.97,0.75,6.61,4.88,,,,47.0,Good
Bengaluru,2018-02-28,79.2,91.69,13.14,33.42,32.98,,0.84,3.96,38.06,0.01,0.0,,100.0,Satisfactory
Hyderabad,2016-12-02,41.97,111.2,6.04,32.78,23.36,15.6,1.04,5.27,20.1,1.99,11.43,0.99,127.0,Moderate
Jaipur,2020-01-03,21.41,68.31,3.93,28.48,21.84,12.7,0.87,10.75,36.58,0.74,2.59,,83.0,Satisfactory
Patna,2015-11-03,120.51,,79.53,21.23,89.25,,2.09,5.57,38.35,0.22,0.85,0.56,309.0,Very Poor
Hyderabad,2015-07-12,47.35,,4.18,2.95,4.46,,0.14,5.07,20.28,0.07,0.64,0.12,122.0,Moderate
Lucknow,2019-02-27,96.28,,7.58,20.31,30.51,11.48,0.71,8.71,25.38,0.06,0.18,,207.0,Poor
Lucknow,2019-04-19,33.07,,12.52,24.11,19.25,,1.03,4.07,16.98,0.14,0.53,,70.0,Satisfactory
Brajrajnagar,2020-06-04,21.49,31.74,5.25,13.19,12.51,33.72,1.75,8.46,34.93,0.0,,,84.0,Satisfactory
Delhi,2019-05-01,37.3,60.94,17.11,27.46,20.01,73.29,0.91,10.19,56.87,1.35,19.2,0.01,113.0,Moderate
Bengaluru,2018-01-07,61.92,116.15,2.85,8.65,9.46,26.05,0.52,6.64,51.56,0.41,2.75,,134.0,Moderate
Ahmedabad,2015-11-13,90.5,,20.64,30.97,44.04,,14.32,112.28,63.42,5.3,33.59,3.83,454.0,Severe
Amaravati,2017-12-27,66.34,99.04,5.89,21.94,14.27,0.71,0.81,9.93,5.41,0.26,1.15,0.19,133.0,Moderate
Ahmedabad,2019-05-22,21.87,,29.42,59.36,34.14,,11.34,105.12,,6.49,20.04,0.65,432.0,Severe
Amaravati,2018-01-20,61.7,152.88,4.18,12.14,8.33,18.01,0.97,10.22,33.03,13.65,20.02,0.12,188.0,Moderate
Visakhapatnam,2019-12-18,75.11,193.95,13.02,45.58,36.32,14.73,0.59,21.85,43.03,5.68,10.55,3.09,131.0,Moderate
Lucknow,2018-11-19,232.28,,17.04,43.41,32.65,55.11,0.81,7.86,29.07,0.2,0.21,,399.0,Very Poor
Ahmedabad,2019-01-16,90.95,,4.35,34.84,19.34,,20.15,69.87,40.77,6.41,36.78,3.17,714.0,Severe
Hyderabad,2016-07-21,26.97,89.84,9.19,36.42,17.4,17.0,0.13,5.31,26.28,0.02,0.44,0.09,84.0,Satisfactory
Amaravati,2018-07-20,12.65,42.64,8.16,15.26,18.48,29.43,0.4,15.54,10.86,0.31,1.53,0.14,56.0,Satisfactory
Chandigarh,2019-09-12,16.07,45.16,5.83,13.1,11.89,12.77,0.7,9.54,34.32,3.4,0.86,1.48,60.0,Satisfactory
Amritsar,2019-09-23,35.57,77.65,12.17,12.4,24.27,2.71,0.59,11.91,32.51,1.95,1.76,12.89,93.0,Satisfactory
Talcher,2018-03-21,,,,,,,,,,,,,,
Mumbai,2017-11-13,,,,,28.97,,0.0,,,0.0,0.0,0.0,,
Mumbai,2015-10-07,,,,,26.86,,0.0,,,0.0,0.0,0.0,,
Thiruvananthapuram,2019-08-10,30.42,70.23,12.25,15.42,17.15,8.99,1.25,15.22,22.87,,,,77.0,Satisfactory
Visakhapatnam,2018-11-05,36.64,60.26,4.18,44.86,26.4,12.72,1.28,13.61,28.97,2.79,3.06,1.5,73.0,Satisfactory
Hyderabad,2018-07-22,55.57,91.46,4.36,37.89,19.68,13.26,0.84,4.84,29.31,1.36,8.97,4.14,99.0,Satisfactory
Mumbai,2017-01-18,,,,,,,0.0,,,,,,,
Guwahati,2018-05-08,,,0.86,6.69,10.8,6.14,0.53,15.91,,0.0,,,,
Gurugram,2018-11-15,131.51,,27.28,37.37,39.45,,0.0,3.2,58.03,,,,289.0,Poor
Bengaluru,2015-03-18,,,13.39,13.51,19.21,26.29,22.25,13.37,28.89,8.96,45.66,,,
Kochi,2019-08-27,16.78,38.96,74.45,0.73,31.6,5.89,0.95,19.33,8.9,,0.0,,37.0,Good
Mumbai,2015-09-27,,,,,26.75,,0.0,,,0.0,0.0,0.0,,
Mumbai,2016-06-24,,,,,21.12,,0.0,,,0.0,0.0,0.0,,
Jorapokhar,2018-03-15,,141.47,7.72,8.9,,35.57,,112.1,16.21,,,,,
Hyderabad,2016-07-29,34.65,,4.77,8.79,8.8,,0.38,4.85,12.3,,,,201.0,Poor
Gurugram,2016-11-19,38.12,,7.89,11.6,,,1.74,8.37,39.39,,,,90.0,Satisfactory
Coimbatore,2020-07-01,32.48,34.86,1.9,74.51,91.03,8.77,0.9,4.81,25.37,0.0,0.0,,48.0,Good
Guwahati,2019-10-26,56.0,145.2,74.38,23.24,161.61,25.88,0.94,16.79,27.47,1.2,,,162.0,Moderate
Mumbai,2018-11-22,48.38,94.13,19.24,27.24,53.21,,1.23,30.09,47.62,1.2,,,139.0,Moderate
Bhopal,2019-06-30,19.97,72.44,2.65,12.36,8.29,6.51,0.47,9.24,42.24,,,,49.0,Good
Bhopal,2019-12-20,66.8,151.04,16.92,47.49,52.94,13.85,0.91,7.75,42.87,,,,168.0,Moderate
Bhopal,2018-10-05,93.86,191.57,10.74,37.39,28.15,25.07,1.05,11.88,50.87,,,,223.0,Poor
Jaipur,2017-04-08,65.8,123.66,6.73,37.81,34.24,23.08,0.9,11.67,42.09,0.93,5.72,,125.0,Moderate
Brajrajnagar,2018-06-17,43.52,95.34,3.09,5.92,3.23,,2.44,5.97,20.57,0.0,,,126.0,Moderate
Amritsar,2018-03-17,19.35,32.86,14.86,28.82,,13.36,0.0,7.93,19.49,,,,61.0,Satisfactory
Gurugram,2020-06-04,32.2,,24.08,22.73,30.18,5.59,0.58,7.52,18.2,0.36,,,68.0,Satisfactory
Bhopal,2016-08-08,20.85,66.16,2.52,21.65,15.12,94.12,0.64,10.44,9.01,,,,106.0,Moderate
Lucknow,2019-09-05,54.15,,8.8,38.49,29.41,44.06,0.65,9.06,17.99,0.0,0.0,,103.0,Moderate
Patna,2019-08-19,45.74,,17.07,97.04,37.58,,1.69,40.32,52.78,2.36,35.2,14.93,83.0,Satisfactory
Gurugram,2019-05-29,59.51,205.9,23.27,43.93,62.06,,2.49,,29.57,,,,175.0,Moderate
Bengaluru,2020-06-22,22.3,74.07,5.78,12.3,10.6,12.9,0.71,5.98,30.1,0.27,2.71,,46.0,Good
Bhopal,2016-11-25,74.5,129.42,11.78,48.3,31.66,11.05,1.09,12.37,52.9,,,,158.0,Moderate
Jaipur,2019-03-15,64.75,103.84,44.41,45.84,35.4,,0.0,8.02,39.54,4.08,4.91,,120.0,Moderate
Chennai,2017-09-13,54.5,,6.33,8.94,10.78,,0.0,4.58,4.9,0.05,0.0,,87.0,Satisfactory
Chennai,2018-05-15,34.8,,3.16,8.55,5.4,,0.3,14.3,21.36,0.06,0.03,,58.0,Satisfactory
Chennai,2017-01-05,55.85,,7.73,9.18,13.27,,0.13,16.16,39.22,0.4,0.27,,107.0,Moderate
Talcher,2019-06-04,10.21,42.05,21.53,4.93,26.14,8.73,1.11,5.95,16.31,0.0,,,117.0,Moderate
Bhopal,2019-03-06,57.9,109.83,9.33,31.64,22.86,31.95,1.09,7.66,51.04,,,,123.0,Moderate
Delhi,2018-11-08,92.08,160.34,7.71,53.95,10.76,43.28,0.31,,40.09,0.17,0.0,,299.0,Poor
Lucknow,2020-04-16,56.57,,11.05,28.52,13.17,30.56,0.9,6.2,41.3,21.74,6.25,,107.0,Moderate
Jaipur,2020-01-11,43.21,95.71,14.03,53.53,61.09,17.86,0.74,9.43,38.17,0.42,1.39,,110.0,Moderate
Brajrajnagar,2019-02-22,37.4,63.89,2.99,2.7,1.66,4.88,1.82,2.48,30.43,0.0,,,97.0,Satisfactory
Chennai,2017-08-10,31.64,,5.37,10.31,10.06,,0.02,3.85,26.2,0.01,0.02,,55.0,Satisfactory
Jaipur,2020-02-13,74.66,119.06,16.4,43.08,48.23,14.31,1.66,9.69,58.94,3.49,17.53,,115.0,Moderate
Amaravati,2019-07-16,19.57,52.47,2.73,7.78,5.28,2.61,0.95,13.82,20.83,0.07,0.3,0.11,47.0,Good
Kolkata,2019-01-04,100.94,211.82,19.69,72.81,79.58,55.45,1.2,13.73,22.49,20.49,39.07,3.61,226.0,Poor
Hyderabad,2018-12-21,133.8,217.12,11.05,34.72,13.92,25.03,0.12,5.13,22.04,0.05,1.31,0.3,296.0,Poor
Hyderabad,2016-09-08,25.53,,25.99,51.06,29.84,,1.5,8.79,16.48,2.67,24.43,12.44,97.0,Satisfactory
Bengaluru,2018-07-27,10.79,27.01,12.94,31.47,19.09,,0.98,3.5,28.04,0.41,1.26,,67.0,Satisfactory
Patna,2018-06-20,25.1,109.15,8.25,,80.0,37.05,1.24,34.06,24.9,19.77,86.73,79.21,101.0,Moderate
Lucknow,2017-07-01,45.72,,10.74,29.94,,,1.76,5.97,26.75,1.52,5.38,,103.0,Moderate
Lucknow,2015-08-02,33.53,,15.13,21.22,4.22,,2.47,8.62,8.74,0.66,,,125.0,Moderate
Jaipur,2020-02-25,35.62,114.85,9.78,26.92,26.28,14.89,0.64,10.41,51.05,0.73,20.62,,122.0,Moderate
Lucknow,2019-01-08,326.03,,49.27,59.87,72.74,86.08,0.62,22.63,19.57,2.9,8.0,,336.0,Very Poor
Amaravati,2018-03-16,81.4,194.48,0.89,3.3,2.25,17.56,0.16,6.39,37.93,0.04,0.54,0.17,203.0,Poor
Bengaluru,2015-08-27,32.52,,5.61,9.68,9.97,31.07,1.89,2.67,24.09,20.88,15.61,,68.0,Satisfactory
Hyderabad,2020-03-02,45.75,132.29,3.77,31.1,20.16,32.3,0.37,6.99,24.72,1.25,12.08,1.44,102.0,Moderate
Bengaluru,2018-05-05,50.35,100.26,13.11,32.51,35.18,26.85,1.05,4.81,35.88,1.37,4.25,,107.0,Moderate
Gurugram,2017-06-09,162.24,,7.81,11.48,,,,2.8,26.46,4.47,30.04,,340.0,Very Poor
Ernakulam,2019-04-22,25.3,49.7,11.18,,10.07,13.15,1.88,2.84,37.1,0.03,0.27,0.0,48.0,Good
Mumbai,2019-11-08,70.77,110.87,28.36,46.44,55.39,,1.83,24.45,39.93,1.19,,,118.0,Moderate
Ahmedabad,2018-05-18,76.2,,27.97,25.39,36.61,,33.82,40.69,25.9,0.0,0.0,0.0,407.0,Severe
Gurugram,2019-02-09,160.08,,19.01,28.61,31.41,,0.56,22.02,32.4,0.12,2.17,,359.0,Very Poor
Visakhapatnam,2019-08-29,51.08,119.77,12.43,45.02,31.33,31.1,0.74,24.56,25.72,6.68,14.36,2.73,112.0,Moderate
Brajrajnagar,2020-04-23,27.11,92.48,2.33,10.64,10.49,6.0,0.82,9.21,54.01,3.37,,,116.0,Moderate
Hyderabad,2016-06-25,39.54,,2.57,5.13,8.04,,0.36,3.17,15.29,0.13,0.89,0.07,81.0,Satisfactory
Chennai,2016-11-24,40.71,,2.57,14.54,9.97,95.94,0.17,3.49,24.24,0.04,0.35,,90.0,Satisfactory
Bengaluru,2016-03-31,47.39,95.8,24.07,39.87,74.69,10.11,0.81,5.69,45.87,0.39,1.47,,98.0,Satisfactory
Lucknow,2018-05-25,110.87,,11.76,25.68,18.42,37.34,1.22,5.29,36.74,0.8,11.77,,244.0,Poor
Patna,2015-11-15,140.01,,299.55,45.76,150.77,,2.12,7.29,15.54,0.15,0.73,0.47,403.0,Severe
Guwahati,2018-10-22,90.92,87.28,42.82,14.59,103.24,17.44,1.25,16.3,12.36,2.11,,,144.0,Moderate
Delhi,2020-03-09,42.12,127.59,7.27,28.39,23.9,19.9,0.97,9.0,52.56,1.49,11.66,3.64,110.0,Moderate
Amaravati,2019-03-11,43.33,132.03,3.0,11.35,7.81,10.41,0.32,6.26,45.51,0.31,0.0,0.1,110.0,Moderate
Lucknow,2016-07-17,39.88,,6.19,36.32,16.7,31.62,0.95,8.96,23.19,0.12,1.33,,77.0,Satisfactory
Ahmedabad,2015-07-07,42.35,,10.75,1.02,10.79,,9.01,14.63,13.88,2.53,32.3,10.75,94.0,Satisfactory
Ahmedabad,2018-05-20,96.18,,12.25,28.62,31.35,,19.12,55.18,39.18,4.03,32.31,6.92,472.0,Severe
Kolkata,2020-04-05,28.49,41.65,3.68,21.32,24.65,4.05,0.4,3.29,62.68,23.44,32.2,8.96,91.0,Satisfactory
Hyderabad,2020-02-07,39.57,47.2,4.49,37.99,25.23,14.81,0.6,9.02,42.45,3.89,23.69,0.71,65.0,Satisfactory
Brajrajnagar,2018-08-06,41.95,92.99,8.19,14.44,7.3,,0.0,2.33,29.61,0.73,,,63.0,Satisfactory
Bengaluru,2019-05-04,39.55,96.27,15.49,39.09,37.33,21.38,1.07,6.55,37.55,0.15,0.83,,106.0,Moderate
Chennai,2015-07-25,41.51,,2.04,6.75,6.83,43.55,0.87,5.26,21.4,0.22,6.11,,93.0,Satisfactory
Lucknow,2016-01-15,120.3,,6.42,46.67,,,1.14,5.87,13.51,4.45,7.38,,359.0,Very Poor
Lucknow,2018-11-09,189.48,,13.41,35.31,25.98,41.67,0.99,9.01,56.63,0.36,0.14,,325.0,Very Poor
Thiruvananthapuram,2020-03-24,24.7,34.61,3.05,9.34,6.86,,0.98,3.9,20.11,,,,79.0,Satisfactory
Bengaluru,2018-10-15,15.53,62.88,10.74,27.48,30.24,11.62,0.93,6.55,20.3,0.53,15.61,,66.0,Satisfactory
Chandigarh,2018-09-23,13.64,42.16,2.97,8.0,10.77,40.55,0.41,9.41,35.81,6.53,0.96,1.04,40.0,Good
Bengaluru,2019-07-08,35.02,66.98,22.09,36.11,41.45,33.62,0.97,6.85,22.45,0.34,1.64,,93.0,Satisfactory
Thiruvananthapuram,2019-11-25,80.8,130.09,4.86,4.2,3.25,13.54,0.28,7.25,19.54,,,,167.0,Moderate
Bengaluru,2020-04-24,20.27,80.38,3.1,7.59,9.69,11.07,0.81,4.94,22.79,0.53,0.64,,56.0,Satisfactory
Hyderabad,2019-11-08,56.84,110.16,5.83,41.39,29.19,12.59,0.75,8.81,47.89,3.61,8.1,0.76,126.0,Moderate
Delhi,2018-08-11,38.01,57.88,8.58,21.31,15.19,82.05,0.77,11.11,7.33,1.61,11.48,0.49,85.0,Satisfactory
Kolkata,2019-01-07,123.95,271.54,70.59,61.01,161.32,22.02,1.05,11.19,23.76,19.43,18.13,,319.0,Very Poor
Ahmedabad,2018-12-04,94.19,,47.88,80.38,63.19,,43.2,63.95,48.65,33.42,129.78,25.75,460.0,Severe
Hyderabad,2020-02-26,45.2,27.31,14.32,37.67,5.79,8.7,0.15,14.66,21.38,0.06,0.26,0.13,92.0,Satisfactory
Ahmedabad,2015-10-26,132.57,,7.4,81.32,71.17,,17.4,146.1,11.97,14.9,134.5,36.1,377.0,Very Poor
Thiruvananthapuram,2018-09-25,11.85,37.2,1.09,4.61,2.52,6.3,0.52,1.79,24.57,,,,80.0,Satisfactory
Hyderabad,2018-09-28,45.44,66.5,13.95,40.65,30.66,14.7,0.65,4.88,16.43,1.55,16.83,2.35,74.0,Satisfactory
Amaravati,2018-12-21,76.49,112.34,2.57,19.65,17.07,26.71,0.64,7.91,28.37,0.41,2.72,0.14,118.0,Moderate
Delhi,2018-02-06,94.5,275.29,35.9,41.71,46.53,37.16,1.25,11.15,41.35,4.44,10.53,3.62,309.0,Very Poor
Coimbatore,2020-06-26,18.35,42.65,4.79,5.39,9.35,5.94,0.1,16.31,48.32,0.03,0.01,,79.0,Satisfactory
Bengaluru,2020-05-15,22.75,81.75,7.14,20.84,23.84,21.53,0.87,5.85,34.2,0.34,1.19,,59.0,Satisfactory
Visakhapatnam,2019-05-22,79.86,116.97,23.16,51.01,40.14,18.78,1.09,14.27,37.58,4.17,16.35,3.88,102.0,Moderate
Amritsar,2020-06-29,12.4,36.66,16.44,15.13,20.06,10.0,0.05,13.6,13.89,3.84,2.67,7.58,59.0,Satisfactory
Kolkata,2020-04-10,17.99,37.76,4.86,7.94,16.33,41.24,0.32,6.11,29.02,2.32,8.71,0.53,51.0,Satisfactory
Coimbatore,2018-06-23,19.15,30.99,8.51,11.67,17.79,3.61,1.38,8.58,16.55,0.04,0.13,,62.0,Satisfactory
Amritsar,2020-01-20,135.97,225.59,54.0,35.9,69.39,13.31,1.33,2.18,29.94,6.64,11.76,17.47,388.0,Very Poor
Amritsar,2019-09-09,18.57,52.42,13.17,15.45,27.42,11.8,0.36,9.62,0.62,2.03,0.88,1.98,55.0,Satisfactory
Kolkata,2019-08-20,20.61,46.73,9.28,16.3,26.25,9.64,0.49,3.11,8.23,17.61,14.33,2.79,60.0,Satisfactory
Jorapokhar,2016-07-14,,33.01,6.9,9.14,,13.23,0.32,40.45,31.33,,,,,
Jorapokhar,2019-04-21,,183.59,7.33,7.1,,5.66,,,26.76,,,,242.0,Poor
Talcher,2018-08-22,52.2,,53.21,12.1,62.9,6.62,1.44,11.26,11.44,0.0,,,101.0,Moderate
Jorapokhar,2017-04-05,,136.9,8.08,8.99,,11.24,0.38,33.18,4.84,,,,184.0,Moderate
Chennai,2018-09-15,33.4,,23.02,13.9,28.8,29.53,1.03,6.62,21.68,0.45,0.0,,50.0,Good
Patna,2015-03-21,95.27,,22.5,19.64,30.43,,1.21,12.14,46.24,0.11,0.51,0.14,277.0,Poor
Guwahati,2018-12-30,99.86,239.8,33.07,29.24,79.21,6.34,0.7,17.6,41.3,0.84,,,217.0,Poor
Mumbai,2019-09-03,33.13,42.32,15.97,13.22,32.93,3.69,0.42,8.9,17.51,2.52,,,48.0,Good
Lucknow,2019-01-07,138.62,,6.85,4.99,2.72,,14.18,5.04,21.93,3.6,69.68,,235.0,Poor
Chennai,2017-09-18,72.53,,6.2,7.59,9.28,,1.46,6.06,35.31,,9.15,,183.0,Moderate
Chennai,2015-11-07,45.2,,17.09,20.1,19.21,17.64,0.74,6.43,12.58,0.0,1.12,,61.0,Satisfactory
Jaipur,2018-03-09,61.52,137.32,34.08,35.98,68.74,23.05,1.72,14.79,48.41,1.23,4.4,,114.0,Moderate
Jaipur,2018-09-29,30.44,67.62,3.55,18.89,19.22,30.28,0.79,10.44,22.0,0.98,2.57,,107.0,Moderate
Chennai,2018-06-02,71.34,,8.27,14.78,21.6,15.47,0.82,8.72,12.62,0.18,0.0,,134.0,Moderate
Mumbai,2016-02-28,57.73,109.62,41.63,46.62,62.95,32.61,1.06,12.03,42.23,5.65,,,127.0,Moderate
Bhopal,2019-08-01,22.27,63.29,1.98,12.31,8.02,31.4,0.48,9.03,40.86,,,,92.0,Satisfactory
Amritsar,2018-03-23,66.47,108.41,21.44,8.7,24.9,,0.0,4.75,64.37,2.76,0.87,8.07,167.0,Moderate
Patna,2020-04-01,14.86,,11.96,91.51,77.23,2.31,1.27,49.4,18.47,1.01,4.24,1.73,43.0,Good
Brajrajnagar,2016-02-13,76.13,150.41,12.17,23.72,28.62,8.95,3.36,9.55,45.29,,,,162.0,Moderate
Jaipur,2020-03-11,43.97,67.11,6.82,23.29,24.78,34.98,1.05,9.15,28.1,0.75,3.87,,127.0,Moderate
Thiruvananthapuram,2020-03-22,22.89,23.7,6.99,7.91,9.8,18.24,1.28,8.77,32.94,,,,37.0,Good
Jaipur,2018-06-08,55.88,77.14,12.57,18.34,26.29,41.75,0.59,8.65,20.41,0.53,1.49,,108.0,Moderate
Lucknow,2017-01-08,157.01,,4.39,42.67,,,1.68,3.65,15.98,6.37,23.28,,323.0,Very Poor
Bengaluru,2017-09-12,10.38,39.38,2.13,8.64,5.59,2.14,0.86,4.94,37.49,0.62,0.97,,47.0,Good
Thiruvananthapuram,2020-06-11,15.48,30.9,3.73,6.31,5.94,23.24,0.57,5.19,11.29,,,,42.0,Good
Lucknow,2016-09-02,99.47,,18.13,35.09,5.33,,1.38,7.94,23.21,0.24,0.93,,149.0,Moderate
Talcher,2020-06-12,45.87,50.84,15.5,6.94,6.49,6.6,2.39,33.89,22.13,0.0,,,100.0,Satisfactory
Coimbatore,2019-08-30,5.15,36.22,,19.79,32.73,2.55,0.5,6.34,28.11,0.01,0.0,,51.0,Satisfactory
Amaravati,2019-02-26,85.03,91.23,6.74,39.82,32.5,10.71,0.74,14.1,32.88,0.05,0.09,0.13,116.0,Moderate
Guwahati,2018-02-24,141.82,254.72,45.59,10.86,75.27,6.89,1.17,19.59,23.74,3.27,,,257.0,Poor
Coimbatore,2020-05-06,13.61,19.57,0.74,34.81,35.05,28.05,0.58,7.71,,0.0,0.0,,81.0,Satisfactory
Brajrajnagar,2018-11-05,139.13,374.79,12.25,24.64,41.03,10.38,3.12,14.54,19.43,0.0,,,331.0,Very Poor
Hyderabad,2020-05-31,25.6,51.0,1.68,23.74,14.71,14.16,0.61,4.86,16.5,0.63,5.5,1.65,72.0,Satisfactory
Delhi,2019-08-28,23.33,28.43,12.6,23.29,27.93,29.67,0.89,8.12,34.75,2.37,16.46,0.75,102.0,Moderate
Hyderabad,2020-01-29,73.57,127.49,14.44,53.62,47.25,13.95,0.78,5.16,27.81,3.95,11.21,4.7,164.0,Moderate
Bengaluru,2016-07-19,32.06,45.82,13.09,33.75,24.1,14.43,0.63,5.09,19.59,0.33,0.78,,88.0,Satisfactory
Brajrajnagar,2018-07-15,23.32,56.45,5.88,10.11,13.52,7.44,1.09,2.25,33.15,0.0,,,93.0,Satisfactory
Bengaluru,2019-05-15,53.82,178.38,7.36,31.86,28.46,18.6,0.95,2.52,46.98,2.25,9.7,,128.0,Moderate
Mumbai,2018-07-19,18.72,89.35,29.32,22.68,49.46,7.03,1.58,10.01,6.96,0.29,,,68.0,Satisfactory
Hyderabad,2016-03-03,62.21,122.03,15.44,63.97,32.72,11.69,0.22,37.35,42.75,2.12,6.59,1.5,146.0,Moderate
Visakhapatnam,2019-02-27,62.27,110.2,4.18,13.95,12.7,17.69,0.46,12.2,43.24,3.14,6.37,1.78,106.0,Moderate
Bengaluru,2018-07-03,19.07,59.91,3.85,18.8,16.44,20.95,0.91,3.46,23.56,0.26,1.65,,59.0,Satisfactory
Hyderabad,2017-01-12,40.17,88.64,4.49,57.82,25.53,11.98,0.42,7.85,12.24,0.19,1.84,0.17,104.0,Moderate
Thiruvananthapuram,2020-06-05,19.28,35.6,1.96,5.58,6.67,2.59,0.91,1.52,32.98,,,,58.0,Satisfactory
Bengaluru,2020-03-30,13.58,59.94,5.49,16.79,17.47,60.94,0.85,6.68,43.79,0.21,3.85,,55.0,Satisfactory
Kolkata,2018-06-27,24.75,55.74,5.05,13.99,19.82,5.02,0.48,5.4,6.52,2.71,8.21,1.01,71.0,Satisfactory
Delhi,2017-12-04,189.46,331.55,67.73,61.32,137.62,30.84,1.77,22.53,54.57,8.54,64.64,3.29,335.0,Very Poor
Gurugram,2016-11-01,,,,,,,,,,,,,,
Visakhapatnam,2020-05-30,18.71,62.38,13.03,35.81,32.41,7.12,0.85,24.64,21.51,3.82,11.86,2.94,61.0,Satisfactory
Visakhapatnam,2019-01-24,221.3,226.02,17.61,92.93,56.54,33.45,0.97,25.09,7.81,4.24,7.32,2.08,312.0,Very Poor
Thiruvananthapuram,2020-06-19,8.52,30.25,2.49,5.87,6.24,6.17,1.02,4.95,33.57,,,,66.0,Satisfactory
Ahmedabad,2017-10-25,,,,,,,,,,,,,,
Mumbai,2016-03-10,,,,,17.06,,0.0,,,0.0,0.0,0.0,,
Jorapokhar,2018-12-15,,,29.54,9.17,,6.86,0.0,,6.28,,,,,
Kolkata,2020-01-18,40.44,10.06,16.87,27.13,46.15,13.96,0.67,7.97,29.62,22.97,19.04,2.41,99.0,Satisfactory
Patna,2017-06-16,,,,,,,,,,,,,,
Hyderabad,2015-01-14,,,34.38,33.0,82.71,,0.71,4.82,35.58,0.33,1.6,0.06,,
Hyderabad,2015-02-10,,,56.11,34.8,70.27,,1.71,10.9,8.27,1.3,9.11,0.65,,
Gurugram,2018-10-08,102.0,,7.06,21.83,20.08,,0.58,3.55,42.33,0.4,,,298.0,Poor
Hyderabad,2016-07-19,34.08,,9.34,20.89,30.4,,1.19,5.43,27.49,,,,120.0,Moderate
Talcher,2020-04-24,21.17,,13.54,4.89,18.15,4.11,2.07,32.45,1.27,0.0,,,13.0,Good
Visakhapatnam,2016-03-04,37.83,82.29,7.11,45.13,39.34,18.84,0.92,9.76,39.47,3.83,11.72,2.44,116.0,Moderate
Ahmedabad,2019-01-15,99.66,,7.1,35.11,24.72,,13.59,86.28,2.27,4.12,32.37,6.93,327.0,Very Poor
Chennai,2016-05-09,,,,,,,,,,,,,,
Jorapokhar,2019-10-17,52.44,82.49,8.98,9.39,,5.29,,4.68,6.04,,,,108.0,Moderate
Talcher,2019-12-13,81.56,145.92,45.62,,30.9,15.07,3.19,26.99,28.13,0.0,,,152.0,Moderate
Gurugram,2016-11-02,48.03,,5.96,20.91,,,0.95,5.05,4.83,0.0,0.0,,77.0,Satisfactory
Jaipur,2019-01-03,152.94,345.67,74.56,30.9,,12.05,0.81,4.2,15.84,0.0,0.0,,382.0,Very Poor
Bengaluru,2018-06-14,14.7,32.88,7.06,26.66,24.89,,0.82,5.34,25.23,0.75,0.34,,46.0,Good
